Term,Course Code,Course Title,Credit Units,Professor
Summer 2024,PAED520,Foundations of Medicine,1.5,Dr. Sarah Chen
Summer 2024,PAED521,Pharmacotherapeutics I,0.25,Dr. Michael Rodriguez
Summer 2024,PAED522,Patient Assessment & Skills I,0.25,Dr. Emily Thompson
Summer 2024,PAED523,PA Professional Practice I,0.25,Dr. James Wilson
Summer 2024,PAED524,Laboratory & Diagnostic Testing,0.75,Dr. Lisa Anderson
Summer 2024,PAED525,Clinical Anatomy & Physiology,1,Dr. David Kim
Summer 2024,PAED526,Health Across the Lifespan,0.75,Dr. Rachel Patel
Fall 2024,PAED530,Medicine I,2.25,Dr. Robert Martinez
Fall 2024,PAED531,Pharmacotherapeutics II,1,Dr. Jennifer Lee
Fall 2024,PAED532,Patient Assessment & Skills II,1,Dr. Thomas Brown
Fall 2024,PAED533,PA Professional Practice II,0.5,Dr. Michelle Wong
Fall 2024,PAED534,Evidence Based Medicine,0.25,Dr. Daniel Park
Fall 2024,PAED535,Introduction to Lifestyle Medicine,0.25,Dr. Amanda Taylor
Spring 2025,PAED540,Medicine II,2.25,Dr. Christopher Johnson
Spring 2025,PAED541,Pharmacotherapeutics III,1,Dr. Sophia Garcia
Spring 2025,PAED542,Patient Assessment & Skills III,1.5,Dr. William Chang
Spring 2025,PAED543,PA Professional Practice III,0.25,Dr. Elizabeth Foster
Spring 2025,PAED544,Principles of Emergency Medicine,0.75,Dr. Kevin O'Connor
Spring 2025,PAED545,Care of the Surgical Patient,0.5,Dr. Maria Santos
Spring 2025,PAED546,Clinical Decision Making,0.5,Dr. Andrew Mitchell
